p_pid     p_name		p_vrt	      p_sum_exe_rt 		  n_pid     n_name  	 n_vrt  	 n_sum_exe_rt|	prev_tslice next_tslice  CPU
   867 , in:imklog,       637783652,      1324263925,      0 , swapper/2,               0,              0, | ,      55713 ,         0 
     0 , swapper/2,               0,               0,    867 , in:imklog,       637783652,     1324263925, | ,          0 ,     55713 
   867 , in:imklog,       637832460,      1324312733,      0 , swapper/2,               0,              0, | ,      48808 ,         0 
     0 , swapper/2,               0,               0,    867 , in:imklog,       637832460,     1324312733, | ,          0 ,     48808 
   867 , in:imklog,       637875657,      1324355930,      0 , swapper/2,               0,              0, | ,      43197 ,         0 
     0 , swapper/2,               0,               0,    867 , in:imklog,       637875657,     1324355930, | ,          0 ,     43197 
   867 , in:imklog,       637931995,      1324412268,      0 , swapper/2,               0,              0, | ,      56338 ,         0 
     0 , swapper/2,               0,               0,    867 , in:imklog,       637931995,     1324412268, | ,          0 ,     56338 
   867 , in:imklog,       637982774,      1324463047,      0 , swapper/2,               0,              0, | ,      50779 ,         0 
     0 , swapper/2,               0,               0,    867 , in:imklog,       637982774,     1324463047, | ,          0 ,     50779 
   868 ,rs:main Q:Reg,       643449970,      1354966159,      0 , swapper/0,               0,              0, | ,     729879 ,         0 
     0 , swapper/0,               0,               0,    868 ,rs:main Q:Reg,       643449970,     1354966159, | ,          0 ,    729879 
   867 , in:imklog,       638130780,      1324611053,      0 , swapper/2,               0,              0, | ,     148006 ,         0 
     0 , swapper/2,               0,               0,    867 , in:imklog,       638130780,     1324611053, | ,          0 ,    148006 
   867 , in:imklog,       638215527,      1324695800,      0 , swapper/2,               0,              0, | ,      84747 ,         0 
     0 , swapper/2,               0,               0,    867 , in:imklog,       638215527,     1324695800, | ,          0 ,     84747 
   867 , in:imklog,       638255389,      1324735662,      0 , swapper/2,               0,              0, | ,      39862 ,         0 
     0 , swapper/2,               0,               0,    867 , in:imklog,       638255389,     1324735662, | ,          0 ,     39862 
   867 , in:imklog,       638384666,      1324864939,      0 , swapper/2,               0,              0, | ,     129277 ,         0 
     0 , swapper/2,               0,               0,    867 , in:imklog,       638384666,     1324864939, | ,          0 ,    129277 
   867 , in:imklog,       638421776,      1324902049,      0 , swapper/2,               0,              0, | ,      37110 ,         0 
     0 , swapper/2,               0,               0,    867 , in:imklog,       638421776,     1324902049, | ,          0 ,     37110 
   867 , in:imklog,       638482520,      1324962793,      0 , swapper/2,               0,              0, | ,      60744 ,         0 
     0 , swapper/2,               0,               0,    867 , in:imklog,       638482520,     1324962793, | ,          0 ,     60744 
   867 , in:imklog,       638520311,      1325000584,      0 , swapper/2,               0,              0, | ,      37791 ,         0 
   868 ,rs:main Q:Reg,       643962606,      1355478795,      0 , swapper/0,               0,              0, | ,     512636 ,         0 
   199 ,systemd-journal,       850322580,      6060337952,   2623 ,  nautilus,     76058469368,    29540834863, | ,    3470889 ,   1192468 
     0 , swapper/0,               0,               0,  11089 ,      pool,    102790839720,         387238, | ,          0 ,     66156 
 11089 ,      pool,    102790929024,          476542,      0 , swapper/0,               0,              0, | ,      89304 ,         0 
     0 , swapper/0,               0,               0,  11090 ,      pool,    102799813699,         262022, | ,          0 ,     92512 
 11090 ,      pool,    102799886085,          334408,      0 , swapper/0,               0,              0, | ,      72386 ,         0 
     0 , swapper/0,               0,               0,  11089 ,      pool,    102790929024,         476542, | ,          0 ,     89304 
 11089 ,      pool,    102790995135,          542653,      0 , swapper/0,               0,              0, | ,      66111 ,         0 
     0 , swapper/0,               0,               0,  11090 ,      pool,    102799886085,         334408, | ,          0 ,     72386 
     0 , swapper/2,               0,               0,    867 , in:imklog,       638520311,     1325000584, | ,          0 ,     37791 
 11090 ,      pool,    102799978066,          426389,      0 , swapper/0,               0,              0, | ,      91981 ,         0 
     0 , swapper/0,               0,               0,    868 ,rs:main Q:Reg,       643962606,     1355478795, | ,          0 ,    512636 
   867 , in:imklog,       638592560,      1325072833,      0 , swapper/2,               0,              0, | ,      72249 ,         0 
     0 , swapper/2,               0,               0,    867 , in:imklog,       638592560,     1325072833, | ,          0 ,     72249 
   867 , in:imklog,       638641722,      1325121995,      0 , swapper/2,               0,              0, | ,      49162 ,         0 
     0 , swapper/2,               0,               0,    867 , in:imklog,       638641722,     1325121995, | ,          0 ,     49162 
   868 ,rs:main Q:Reg,       644044661,      1355560850,  11089 ,      pool,    102790995135,         542653, | ,      82055 ,     66111 
 11089 ,      pool,    102791068657,          616175,    868 ,rs:main Q:Reg,       644044661,     1355560850, | ,      73522 ,     82055 
   867 , in:imklog,       638775621,      1325255894,      0 , swapper/2,               0,              0, | ,     133899 ,         0 
     0 , swapper/2,               0,               0,    867 , in:imklog,       638775621,     1325255894, | ,          0 ,    133899 
   868 ,rs:main Q:Reg,       644151753,      1355667942,  11090 ,      pool,    102799978066,         426389, | ,     107092 ,     91981 
   867 , in:imklog,       638836392,      1325316665,      0 , swapper/2,               0,              0, | ,      60771 ,         0 
 11090 ,      pool,    102800053522,          501845,    868 ,rs:main Q:Reg,       644151753,     1355667942, | ,      75456 ,    107092 
   868 ,rs:main Q:Reg,       644243891,      1355760080,  11089 ,      pool,    102791068657,         616175, | ,      92138 ,     73522 
 11088 ,       cc1,      1789240845,        31417517,   1188 ,alsa-sink-ALC26,               0,     7819420931, | ,   31354469 ,7819420931 
 11089 ,      pool,    102791141998,          689516,    868 ,rs:main Q:Reg,       644243891,     1355760080, | ,      73341 ,     92138 
   868 ,rs:main Q:Reg,       644276226,      1355792415,      0 , swapper/0,               0,              0, | ,      32335 ,         0 
     0 , swapper/0,               0,               0,   1181 ,pulseaudio,       240845017,     6998658622, | ,          0 ,6998658622 
  1188 ,alsa-sink-ALC26,               0,      7819605651,  11088 ,       cc1,      1789240845,       31417517, | , 7819605651 ,  31354469 
  1181 ,pulseaudio,       240855078,      6998775702,   8938 ,threaded-ml,    102794790120,     4074358401, | , 6998775702 ,4074358401 
     0 , swapper/2,               0,               0,   8942 ,aqueue:src,     74223021334,     3129108776, | ,          0 ,3129108776 
  8938 ,threaded-ml,    102794855863,      4074424144,  11089 ,      pool,    102791141998,         689516, | , 4074424144 ,     73341 
  2623 ,  nautilus,     76059864323,     29542229818,    199 ,systemd-journal,       850322580,     6060337952, | ,    1394955 ,   3470889 
 11089 ,      pool,    102791283841,          831359,   8938 ,threaded-ml,    102794855863,     4074424144, | ,     141843 ,     65743 
  8942 ,aqueue:src,     74223163164,      3129250606,      0 , swapper/2,               0,              0, | , 3129250606 ,         0 
     0 , swapper/2,               0,               0,   8942 ,aqueue:src,     74223163164,     3129250606, | ,          0 ,    141830 
  8938 ,threaded-ml,    102794955324,      4074523605,  11090 ,      pool,    102800053522,         501845, | ,      99461 ,     75456 
 11090 ,      pool,    102800063344,          511667,   1181 ,pulseaudio,       240855078,     6998775702, | ,       9822 ,    117080 
  8942 ,aqueue:src,     74223188795,      3129276237,   8938 ,threaded-ml,     74218245699,     4074523605, | ,      25631 ,     99461 
 11088 ,       cc1,      1789616174,        31792846,   1188 ,alsa-sink-ALC26,               0,     7819605651, | ,     375329 ,    184720 
  8938 ,threaded-ml,     74218292780,      4074570686,   8942 ,aqueue:src,     74223188795,     3129276237, | ,      47081 ,     25631 
  8942 ,aqueue:src,     74223232979,      3129320421,   8938 ,threaded-ml,     74218292780,     4074570686, | ,      44184 ,     47081 
  1188 ,alsa-sink-ALC26,               0,      7819670111,   8941 ,mpegaudioparse0,    106385256759,    11876348050, | ,      64460 ,11876348050 
  8938 ,threaded-ml,     74218304770,      4074582676,   8942 ,aqueue:src,     74223232979,     3129320421, | ,      11990 ,     44184 
  8941 ,mpegaudioparse0,    106385263129,     11876354420,   1188 ,alsa-sink-ALC26,               0,     7819670111, | , 11876354420 ,     64460 
  8942 ,aqueue:src,     74223240107,      3129327549,   8938 ,threaded-ml,     74218304770,     4074582676, | ,       7128 ,     11990 
  1181 ,pulseaudio,       240865772,      6998900154,      0 , swapper/0,               0,              0, | ,     124452 ,         0 
     0 , swapper/0,               0,               0,   1181 ,pulseaudio,       240865772,     6998900154, | ,          0 ,    124452 
  8938 ,threaded-ml,     74218325905,      4074603811,   8942 ,aqueue:src,     74223240107,     3129327549, | ,      21135 ,      7128 
  8942 ,aqueue:src,     74223245829,      3129333271,      0 , swapper/2,               0,              0, | ,       5722 ,         0 
  1188 ,alsa-sink-ALC26,               0,      7819703134,   8941 ,mpegaudioparse0,    106385263129,    11876354420, | ,      33023 ,      6370 
  8941 ,mpegaudioparse0,    106385279389,     11876370680,   1188 ,alsa-sink-ALC26,               0,     7819703134, | ,      16260 ,     33023 
